id,reference,hypothesis,BLEU,chrF++
1776,"""संपूर्ण रात्रीमध्ये १५० आणि २०० प्रति तयार करण्यात आल्या त्याला आता ""डनलॅप ब्रॉडसाइड"" म्हणून ओळखले जाते.","रात्री एक पन्नास ते दोनशे प्रती बनवल्या गेल्या, ज्या आता डनलप ब्रॉडसाइड्स म्हणून ओळखल्या जातात.",2.5229,28.3271
1729,उदाहरणार्थ प्रत्येक वर्षी उत्तर कॅलोरिनातील बेनेट शाळेचे विद्यार्थी त्यांच्या राज्याच्या राजधानीला भेट देण्याच्या सहलीसंबंधी वेबसाइट तयार करतात प्रत्येक वर्षी वेबसाइट पुन्हा तयार केली जाते पण तिच्या जुन्या आवृत्त्या स्क्रॅपबुक प्रमाणे ऑनलाइन ठेवल्या जातात,"उदाहरणार्थ, दरवर्षी उत्तर कॅरोलिना येथील बेनेट स्कूलचे विद्यार्थी त्यांच्या राज्य राजधानीच्या प्रवासाबद्दल एक वेबसाइट डिझाइन करतात. दरवर्षी वेबसाइटचे नूतनीकरण केले जाते, परंतु जुन्या आवृत्त्या ऑनलाईन ठेवल्या जातात जे स्क्रॅपबुक म्हणून काम करतात.",4.3093,44.7661
1855,सिंहांचे गट बरेचसे लांगडे आणि कुत्रे या त्यांच्या वर्तनाशी आश्चर्यकारक साम्य असलेल्या मात्र अन्य मोठ्या मांजरी नाही आणि त्यांच्या शिकारीबाबत अत्यंत प्राणघातक असलेल्या प्राण्यांच्या टोळ्यांसारके वर्तन करतात,"सिंह प्राईड लांडगे किंवा कुत्र्यांच्या कळपांसारखेच काम करते, प्राणी आश्चर्यकारकपणे सिंहांसारखे असतात, परंतु इतर मोठ्या मांजरींच्या वर्तनात नाहीत आणि त्यांच्या शिकारसाठी देखील खूप घातक असतात.",2.9556,34.3562
1919,शहर आफ्रिकेत जिथे सर्वात स्वस्तात पर्वतीय गोरिलांचा माग काढता येतो अशा जागांपैकी एक असण्यासह नैरागोंगो ज्वालामुखीवर चढाई करण्याचा तळ आहे,आफ्रिकेतील काही स्वस्त माउंटन गोरिल्ला तस्करीसह निराइगंगो ज्वालामुखीवर चढण्यासाठीही हे शहर आधार आहे.,2.4347,27.6763
1802,इंटरनेट सामूहिक आणि परस्परसंबंधित दोन्ही घटक एकत्र करते,इंटरनेटमध्ये मास आणि इंटरपर्सनल कम्युनिकेशन या दोन्ही गोष्टींचा समावेश आहे.,4.4569,21.5298
1711,हे सिद्धांत हे अशा लोकांच्या बाबत पाहण्यासाठी आहे कि नेमक काही लोक ज्या गोष्टी करतात ज्या त्यांना कराव्या वाटतात आणि त्यांच्या वातावरणातील कोणत्या गोष्टी त्यांना त्या करू देतात आणि काही गोष्टी करू देत नाहीत,काही लोकांना ते काय करतात आणि त्यांच्या वातावरणात काय गोष्टी त्यांना काही गोष्टी करण्यास किंवा न करण्यास प्रवृत्त करतात हे पहा.,3.8377,34.5607
1685,उदाहरणार्थ जगातील सर्वात सामान्य स्टील इमेज फोटोग्राफीचे स्वरूप 35 मिमी आहे जो अ‍ॅनालॉग फिल्म युगाच्या शेवटच्या चित्रपटाचा प्रमुख आकार होता,"उदाहरणार्थ, जगातील सर्वात सामान्य स्थिर प्रतिमा छायाचित्रण स्वरूप 35 मिमी आहे, जे अॅनालॉग फिल्म युगच्या शेवटी प्रमुख चित्रपट आकार होते.",16.6925,56.2422
1992,विशेषतः सवानावर आकर्षक आफ्रिकन वन्यजीव पाहण्यासाठी लोकप्रिय वापरामधील सफारी हा शब्द ओव्हरलँड ट्रॅव्हल संबोधित करतो,"सफारी आणि लोकप्रिय लूझ हा शब्द आफ्रिकेच्या आश्चर्यकारक वन्यजीव, विशेषतः सवाना पाहण्यासाठी जमिनीवर प्रवास करण्याला संदर्भित करतो.",5.7260,41.5962
2005,पण पक्षांच्या बाबतीत आढळणाऱ्या अनेक गोष्टी अजूनही डायनासोरसारख्या दिसतात,"पण त्यामध्ये अनेक गोष्टी होत्या, त्या बर्फाला डायनासोरसारखं दिसत होतं.",7.4956,34.8522
1982,महिला कोणीही महिला जी प्रवास करीत आहे त्यांनी त्यांची प्रत्यक्ष वैवाहिक स्थिती काही असली तरी त्यांनी विवाहित आहे असे सांगण्याची शिफारस केली जाते,महिला: कोणत्याही महिला प्रवाशांना असे सांगण्याची शिफारस केली जाते की ते वास्तविक वैवाहिक स्थितीकडे दुर्लक्ष करून विवाहित आहेत.,17.8687,46.8583
1674,काही भागांमध्ये एक मिनिटासाठी पाणी उकळणे पुरेसे असेल तर इतर ठिकाणी काही मिनिटेही गरजेची असू शकतात,काही भागात एक मिनिट उकळणारे पाणी पुरेसे असते आणि इतर ठिकाणी अनेक मिनिटे आवश्यक असतात.,6.4372,37.0566
1952,जे कोणी उंच भागात किंवा पर्वतांवरील रस्त्यावरून गाडी चालवणार आहेत त्यांनी हिम बर्फ किंवा गोठणबिंदूखालील तापमानाची शक्यता विचारात घ्यावी,"जो कोणी उष्ण अक्षांशात किंवा डोंगराच्या पायथ्याशी वाहन चालवणार आहे त्याने बर्फ, बर्फ किंवा थंड तापमानाचा विचार केला पाहिजे.",4.5672,31.2435
1752,याचा परिणाम म्हणून माशांच्या 2 प्रजाती विलुप्त झाल्या आहेत आणि हम्पबॅक चब सह इतर 2 विलुप्त प्राय झालेल्या आहेत,"परिणामी, दोन माशांच्या प्रजाती विलुप्त झाल्या आहेत आणि इतर दोन प्रजाती धोक्यात आल्या आहेत, ज्यात हंपबॅक चबचा समावेश आहे.",18.1852,48.2879
1749,"""त्यावर ""विची"" फ्रेंच राज्य करत होते. या फ्रेंच लोकांनी १९४० मध्ये जर्मनीबरोबर शांतता प्रस्थापित केली होती आणि हल्लेखोरांबरोबर युद्ध करण्याऐवजी काम केले होते.",या फ्रेंच लोकांनी १९४० मध्ये जर्मन लोकांशी शांतता प्रस्थापित केली होती आणि त्यांच्याशी लढण्याऐवजी आक्रमणकर्त्यांसोबत काम केले होते.,31.5884,54.6759
1705,"""15 ऑगस्ट 1940 रोजी मित्र देशांनी दक्षिण फ्रान्सवर आक्रमण केले या आक्रमणाला ""ऑपरेशन ड्रॅगून"" म्हटले गेले.","ऑगस्ट १५, १९४० रोजी मित्र राष्ट्रांनी दक्षिण फ्रान्सवर आक्रमण केले आणि या आक्रमणाला ऑपरेशन ड्रॅगॉन असे नाव देण्यात आले.",16.6352,55.6149
1662,मिश्रधातू हे मुळात 2 किंवा अधिक धातूंचे मिश्रण आहे आवर्त सारणीमध्ये अनेक मूलद्रव्ये आहेत हे विसरू नका,मिश्र धातु हे मुळात दोन किंवा त्यापेक्षा जास्त धातूंचे मिश्रण आहे. पिरॅडिक टेबलवर अनेक घटक आहेत हे विसरू नका.,19.2685,50.0568
1729,उदाहरणार्थ प्रत्येक वर्षी उत्तर कॅलोरिनातील बेनेट शाळेचे विद्यार्थी त्यांच्या राज्याच्या राजधानीला भेट देण्याच्या सहलीसंबंधी वेबसाइट तयार करतात प्रत्येक वर्षी वेबसाइट पुन्हा तयार केली जाते पण तिच्या जुन्या आवृत्त्या स्क्रॅपबुक प्रमाणे ऑनलाइन ठेवल्या जातात,"उदाहरणार्थ, दरवर्षी, उत्तर कॅरोलिना येथील बेनेट स्कूलचे विद्यार्थी त्यांच्या राज्य राजधानीच्या प्रवासाबद्दल एक वेबसाइट डिझाइन करतात, दरवर्षी वेबसाइटचे नूतनीकरण केले जाते, परंतु जुन्या आवृत्त्या स्क्रॅपबुक म्हणून सेवा देण्यासाठी ऑनलाईन ठेवल्या जातात.",6.5487,46.0484
1790,"""त्याचे कार्य इतक्या मान्यताप्राप्त गुणवत्तेचे आणि तपशीलवार आहे की परोपकारी लोकांपैकी ते खूप कमी लोकांपैकी 1 असे ""घराघरातील नाव"" आहे. काही जण केवळ एकट्याने त्याचे कार्य संकलित करण्यात प्रवीण आहेत.","त्याचे काम इतके प्रसिद्ध आहे की ते काही घरगुती नावांपैकी एक आहे, काही फिलॅटेलिस्ट्स त्याच्या कामाचे संग्रहण करण्यासाठी विशेष आहेत.",3.2175,22.1507
1858,संयुक्त राष्ट्रांचे या रोगाचे तज्ज्ञ डॅनिअल लॅन्टॅग्ने म्हणाले की उद्रेक शांततादुतांद्वारे झालेला असू शकतो,"या रोगाचा संयुक्त राष्ट्रांचा तज्ज्ञ डॅनिएल लॅंटिगी यांनी सांगितले की, हा उद्रेक शांतता रक्षक दलाच्या जवानांनी केला असावा.",2.8630,39.9841
1789,इतर नामांकनामध्ये उत्कृष्ट चित्रपट दिग्दर्शक चित्रांकन वेशभूषा संपादन मूळ संगीत निर्मिती रचना ध्वनी संकलन ध्वनी मिश्रण आणि मूळ पटकथा यांचा समावेश होतो,"इतर नामांकनांमध्ये सर्वोत्कृष्ट चित्रपट, दिग्दर्शक, छायाचित्रण, पोशाख डिझाइन, चित्रपट संपादन, मूळ स्कोअर, उत्पादन डिझाइन, ध्वनी संपादन, ध्वनी मिश्रण आणि मूळ पटकथा यांचा समावेश आहे.",19.9639,53.3895
1909,व्हर्च्युअल टीम्सकरिता पारंपारिक टीम्सप्रमाणेच उत्कृष्टतेचे मानक ठेवले जातात परंतु त्यात सूक्ष्म फरक असतो,आभासी संघांना पारंपारिक संघांसारखेच उत्कृष्टतेचे मानक दिले जाते परंतु सूक्ष्म फरक आहेत.,9.6693,40.0016
1897,उत्तरेमध्ये हा प्रभाग सहेल ने वेढला आहे आणि दक्षिण आणि पश्चिमेमध्ये अटलांटिक महासागराने,उत्तरेस हा प्रदेश साहेल आणि दक्षिणेस आणि पश्चिमेस अटलांटिक महासागराने वेढलेला आहे.,8.1309,51.3073
1680,एक परिपूर्ण निपुणता असलेला वाघ चढू शकतो अर्थात फार चांगला नाही पोहू शकतो लांब अंतरावर झेपावू शकतो आणि एखाद्या सुदृढ माणसापेक्षा पाच पट जास्त शक्तीने खेचू शकतो,"एक चांगला गोल खेळाडू, वाघ चढू शकतो, जरी चांगले नाही, पोहणे, मोठे अंतर उडी मारणे आणि मजबूत मानवाच्या पाच पट शक्तीने खेचणे.",7.7250,26.7688
1953,त्याला त्यानंतर अ‍ॅडनब्रूक हॉस्पिटल केंब्रिज इथे पुन्हा हलवण्यात आले,त्यानंतर त्याला केंब्रिज येथील अॅडेनब्रूक्स रुग्णालयात हलवण्यात आले.,11.9901,45.3602
1740,पिरॅमिड आवाज आणि लाइट शो या लहान मुलांसाठी त्या क्षेत्रातील सर्वात मनोरंजक गोष्टी आहेत,पिरामिडचा ध्वनी आणि प्रकाश शो हा मुलांसाठी या भागातील सर्वात मनोरंजक गोष्टींपैकी एक आहे.,6.9172,42.4365
1717,पाण्याच्या अंतर्गत भागातील टोपोलॉजीमुळे परतीचा प्रवाह थोड्या सखोल भागात केंद्रित केला जातो आणि तेथे खोल पाण्याचा वेगवान प्रवाह तयार होईल,"पाण्याच्या पृष्ठभागाखालीच्या टोपोलॉजीमुळे, परतीचा प्रवाह काही खोल भागांमध्ये केंद्रित असतो आणि तेथे खोल पाण्याकडे वेगवान प्रवाह तयार होऊ शकतो.",13.9885,56.8175
1987,हा अपघात वर डोंगराळ भागात घडून आला आणि असा विश्वास आहे की हे भयानक अशा आगीमुळे घडून आले असावे,"हा अपघात डोंगराळ भागात झाला आणि शत्रूच्या गोळीबारात झाला असावा, असे मानले जाते.",6.0198,28.3993
1990,ब्लॉग्जमुळे विद्यार्थ्यांचे लेखन सुधारण्यात देखील मदत होऊ शकते विद्यार्थ्यांना बरेचदा ब्लॉगमध्ये चुकीचे व्याकरण आणि स्पेलिंगचा अनुभर येत असला तरीही एखाद्या श्रोत्याच्या उपस्थितीने सहसा यात बदल होतो,"ब्लॉग विद्यार्थ्यांच्या लिखाणात सुधारणा करण्यास मदत करू शकतात, तर विद्यार्थी अनेकदा त्यांच्या ब्लॉग अनुभवाची सुरुवात अस्ताव्यस्त व्याकरण आणि शब्दलेखनसह करतात, प्रेक्षकांची उपस्थिती सामान्यतः ते बदलते.",2.9556,31.1030
1908,हा काही क्रियापदे आणि कर्मांमध्ये फरक करण्याचा महत्त्वपूर्ण मार्ग आहे,काही क्रियापद आणि वस्तूंमध्ये फरक करण्याचा हा एक महत्त्वाचा मार्ग आहे.,11.0168,58.6191
1752,याचा परिणाम म्हणून माशांच्या 2 प्रजाती विलुप्त झाल्या आहेत आणि हम्पबॅक चब सह इतर 2 विलुप्त प्राय झालेल्या आहेत,"परिणामी, दोन माशांच्या प्रजाती विलुप्त झाल्या आहेत आणि आणखी दोन प्रजाती नष्ट होण्याच्या धोक्यात आल्या आहेत, ज्यात हंपबॅक चबचा समावेश आहे.",16.0207,46.2216
2005,पण पक्षांच्या बाबतीत आढळणाऱ्या अनेक गोष्टी अजूनही डायनासोरसारख्या दिसतात,पण पक्ष्यांबद्दल बर्याच गोष्टी आहेत ज्या अजूनही डायनासोरसारख्या दिसतात.,17.7474,53.0073
1678,ऑलिव्हर सॅक्स यांनी त्यांच्या पेपर द प्रेसिडेंट स्पीच' मध्ये असे म्हटले आहे की जे लोकं मेंदूच्या क्षितीमुळे भाषण समजण्यास असमर्थ आहेत परंतु तरीही ते प्रामाणिकपणाचे अचूक मूल्यांकन करू शकतात,"ऑलिव्हर सॅक्स यांनी आपल्या 'द प्रेसिडेंट' या लेखात सांगितले की, मेंदूच्या नुकसानीमुळे भाषण समजू न शकणारे लोक प्रामाणिकपणाचे अचूक मूल्यांकन कसे करू शकतात.",9.8862,46.8988
1701,"इराणच्या झॅग्रोस पर्वतांमध्ये सुमारे 10,000 वर्षांपूर्वी शेळ्यांना प्रथम पाळीव प्राण्यांच्या स्वरुपात स्वीकारले गेल्याचे दिसते",इराणच्या झॅग्रोस पर्वतरांगांमध्ये सुमारे दहा हजार वर्षांपूर्वी बकरींचे पाळण करण्यात आले असे दिसते.,7.1418,39.4484
2001,पर्यटकांनी त्यांच्या भागाला बाधित करणाऱ्या तीव्र हवामानाची कोणतीही जोखीम जाणून घ्यावी कारण त्यांच्या कोणत्याही प्रवास योजना बाधित होऊ शकतात,प्रवाशांना त्यांच्या क्षेत्रावर परिणाम करणाऱ्या कोणत्याही गंभीर हवामानाच्या धोक्याची जाणीव ठेवण्याचे जोरदार सल्ला दिले जाते कारण ते कोणत्याही प्रवासाच्या योजनांवर परिणाम करू शकतात.,2.3526,36.7669
1991,युरोपिय इतिहासाच्या या कालावधीत कॅथॉलिक चर्च जे समृद्ध आणि शक्तिशाली बनले होते त्याची छाननी सुरु झाली,"युरोपियन इतिहासाच्या या काळात, कॅथोलिक चर्च, जे श्रीमंत आणि शक्तिशाली झाले होते, त्याची तपासणी करण्यात आली.",6.4399,45.0718
1895,जसे ग्रीकांचे ज्ञान ओसरले तेव्हा पश्चिमेला हे लक्षात आले की ते ग्रीक तत्वज्ञान आणि शास्त्र यांच्या मूळापासून तोडले गेले आहेत,ग्रीक भाषेचे ज्ञान कमी झाल्यामुळे पश्चिमेला ग्रीक तत्त्वज्ञान आणि वैज्ञानिक मुळांपासून दूर ठेवले गेले.,2.8158,32.6443
1710,"""मागील आठवड्यात meti ने जाहीर केले की अॅपलने 34 अतिरिक्त ओव्हरहिटिंग घटनांची माहिती दिली होती ज्यास कंपनीने ""नॉन-सिरीयस"" असे म्हटले आहे.","गेल्या आठवड्यात, एमेटीने जाहीर केले की ऍपलने त्याला 34 अतिरिक्त अति उष्णतेच्या घटनांबद्दल माहिती दिली आहे, ज्याला कंपनीने 'गंभीर नाही' असे म्हटले आहे.",16.6084,45.7519
1975,व्हॅटिकन शहराची लोकसंख्या सुमारे 800 आहे हा जगातील सर्वात छोटा स्वतंत्र देश आणि सर्वात कमी लोकसंख्या असलेला देश आहे,व्हॅटिकन सिटीची लोकसंख्या सुमारे 800 आहे. हा जगातील सर्वात लहान स्वतंत्र देश आहे आणि लोकसंख्या,23.3099,60.9042
1864,सौ किर्चनर यांनी अर्जेंटाईन नाट्यगृह येथे आपल्या अध्यक्षपदाची निवडणूक लढविण्याचा हेतू घोषित केला हेच ठिकाण त्यांनी ब्यूनोस एअर्स प्रभाग प्रतिनिधी मंडळाचे एक सदस्य म्हणून 2005 साली सिनेट साठी मोहीम सुरु करण्याकरिता वापरले होते,"मिसेस किर्चनर यांनी अर्जेंटिना थिएटरमध्ये राष्ट्रपतीपदासाठी निवडणूक लढवण्याची घोषणा केली, त्याच ठिकाणी ती ब्यूनस आयर्स प्रांताच्या प्रतिनिधीमंडळाच्या सदस्य म्हणून सिनेटसाठी दोन हजार पाचची मोहीम सुरू करण्यासाठी वापरत होती.",3.5163,39.4932
1720,हॉट चॉकलेट बेल्जियमच्या मानकानुसार आहे फळांचे रस महाग असले तरी उत्कृष्ट आहेत,गरम चॉकलेट बेल्जियमच्या मानकांप्रमाणे आहे. फळांचा रस महाग आहे पण उत्कृष्ट आहे.,8.8892,52.3016
1723,हे बंदर 1889 मध्ये घडलेल्या कुख्यात नाविक घटना घडली हे स्थान आहे जेव्हा जर्मनीच्या अमेरिकेच्या आणि ब्रिटनच्या 7 जहाजांनी आपले बंदर सोडण्यास नकार दिला होता,"१८८९ मध्ये जर्मनी, अमेरिका आणि ब्रिटनच्या सात जहाजांनी बंदराबाहेर जाण्यास नकार दिल्यामुळे या बंदरावर एक कुख्यात नौदल संघर्ष झाला.",3.9512,34.2799
1769,तिसऱ्या शतकात इ.स.पू. इजिप्शियन लोकांनी निर्माण केलेले ग्रेट पिरॅमिड हे मृत फराओहच्या सन्मानार्थ निर्माण केलेल्या अनेक मोठ्या पिरॅमिड रचनांपैकी 1 आहे,इ. स. पू. तिसऱ्या शतकात इजिप्शियन लोकांनी बांधलेले ग्रेट पिरामिड हे मृत फारोच्या सन्मानार्थ बांधलेल्या अनेक मोठ्या पिरामिड संरचनांपैकी एक आहे.,26.7930,57.9247
1794,सभ्यता ही एकल संस्कृती आहे जी लोक समाजात एकत्र राहतात आणि सहकार्याने काम करतात अशा लोकांच्या मोठ्या समुदायाने सामायिक केलेली असते,एक सभ्यता म्हणजे एक विशिष्ट संस्कृती जी लोकांचा एक मोठा गट सामायिक करतो जो सहकारीपणे जगतो आणि काम करतो - एक समाज.,2.5772,27.7965
1950,सिंट्राचे रोमँटिक आणि मोहक शहर हे उत्तरेकडे व सहज पोहोचता येऊ शकणारे आहे तसेच लॉर्ड बायरनने रेकॉर्ड केलेल्या त्याच्या वैभवाच्या भव्यतेच्या वर्णनानंतर हे परदेशी लोकांमध्ये देखील प्रसिद्ध झाले आहे,"उत्तर दिशेला आणि सहज पोहोचण्याजोगी आहे रोमँटिक आणि मोहक शहर सिंट्रा, ज्यात लॉर्ड ब्रायनने रेकॉर्ड केलेल्या त्याच्या भव्यतेच्या चमकदार लेखानंतर परदेशी लोकांना प्रसिद्ध केले गेले.",13.6212,49.6961
1855,सिंहांचे गट बरेचसे लांगडे आणि कुत्रे या त्यांच्या वर्तनाशी आश्चर्यकारक साम्य असलेल्या मात्र अन्य मोठ्या मांजरी नाही आणि त्यांच्या शिकारीबाबत अत्यंत प्राणघातक असलेल्या प्राण्यांच्या टोळ्यांसारके वर्तन करतात,"शेर प्राइड्स लांडगे किंवा कुत्र्यांच्या कळपांसारखे काम करतात, प्राणी आश्चर्यकारकपणे सिंहांसारखे असतात, परंतु इतर मोठ्या मांजरींच्या वर्तनात नाहीत आणि त्यांच्या शिकारसाठी देखील खूप घातक असतात.",3.1760,35.2086
1882,शास्त्रज्ञाना ग्रह कसे तयार होतात हे समजण्याची आशा आहे विशेषत पृथ्वी कशी तयार झाली जेव्हा धूमकेतू फार पूर्वी पृथ्वीवर आदळले होते,"ग्रह कसे तयार होतात हे विज्ञानाला समजण्याची आशा आहे, विशेषतः दीर्घ काळापूर्वी धूमकेतू पृथ्वीशी धडकल्यापासून पृथ्वी कशी तयार होते.",29.1702,56.4762
1890,बहुतांश आधुनिक संशोधन दुर्बिणी सुदूर भागांमध्ये वातावरणीय स्थिती अनुकूल असताना प्रचंड सुविधा देतात,बहुतेक आधुनिक संशोधन दुर्बिणी अनुकूल वातावरणीय परिस्थिती असलेल्या दुर्गम भागात प्रचंड सुविधा आहेत.,14.4589,52.8713
1849,तुम्ही नॅशनल ट्रेजर हा चित्रपट पाहिला असेल तर डिक्लेरेशनऑफ इंडिपेन्डन्सच्या मागच्या बाजूला खजिन्याचा नकाशा लिहिला आहे असे तुम्हाला वाटू शकते,जर तुम्ही 'नॅशनल ट्रेझर' हा चित्रपट पाहिला असेल तर तुम्हाला वाटेल की स्वातंत्र्याच्या घोषणेच्या मागील बाजूस खजिना नकाशा लिहिला गेला आहे.,20.3317,49.5390
1893,सुंदरबन्स हा जगातील सर्वात मोठा समुद्रालगतचा कांदळवनाचा पट्टा आहे तो बांगलादेश आणि भारतीय सुदूर अंतर्भागातील किनाऱ्यापासून 80 किमी 50 मैल आत पसरलेला आहे,बांगलादेश आणि भारताच्या अंतर्देशीय भागात ८० किलोमीटर पन्नास मैल लांबीचा जगातील सर्वात मोठा किनारपट्टीचा मॅंग्रोव्ह बेल्ट आहे.,8.2828,34.7676
1667,"""साधारणत: जेव्हा व्यवस्थापक त्यांच्या आधीच्या सहकार्यांचे व्यवस्थापन करण्यास सुरुवात करतात तेव्हा २ प्रकारची वर्तने समोर येऊ शकतात. स्पेक्ट्रमच्या एका टोकावरील लोक ""त्या मुलांपैकी एक"" किंवा मुलींपैकी राहण्याचा प्रयत्न करतात.","सर्वसाधारणपणे, दोन वर्तन उद्भवू शकतात जसे व्यवस्थापक त्यांच्या माजी समवयस्कांचे नेतृत्व करण्यास सुरवात करतात. स्पेक्ट्रमचा एक शेवट हा 'गॅस' किंवा 'गॅल्स' मध्ये राहण्याचा प्रयत्न करीत आहे.",4.2172,37.7173
1814,हायड्रोजन आयन हे प्रोटॉन आहेत त्यांचे इलेक्ट्रॉन त्यांनी काढून टाकले होते जसे की हायड्रोजन अणूंमध्ये एक प्रोटॉन आणि एक इलेक्ट्रॉन असतो,"हायड्रोजन आयन हे प्रोटॉन आहेत ज्यांचे इलेक्ट्रॉन काढून टाकले गेले आहेत, कारण हायड्रोजन अणूमध्ये एक प्रोटॉन आणि एक इलेक्ट्रॉन असतो.",41.5847,72.2088
1893,सुंदरबन्स हा जगातील सर्वात मोठा समुद्रालगतचा कांदळवनाचा पट्टा आहे तो बांगलादेश आणि भारतीय सुदूर अंतर्भागातील किनाऱ्यापासून 80 किमी 50 मैल आत पसरलेला आहे,बांगलादेश आणि भारताच्या किनारपट्टीपासून ८० किलोमीटर पन्नास मैल अंतरावर पसरलेला सुंदर्बिन हा जगातील सर्वात मोठा किनारपट्टीचा मॅंग्रोव्ह बेल्ट आहे.,13.5773,39.0882
